Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
20,Entry short,2025-09-05 00:30,Short,3.2517,27.5,89.42175,-2.53,-2.83,0.09,0.52,0.58,-2.48,-2.78,-13.08,-13.08,24
21,Exit long,2025-09-10 01:30,Close Long,3.4394,25.97,86.893023,2.34,2.69,0.09,6.96,8.00,-0.97,-1.11,-10.74,-10.74,217
21,Entry long,2025-09-05 13:00,Long,3.3459,25.97,86.893023,2.34,2.69,0.09,6.96,8.00,-0.97,-1.11,-10.74,-10.74,217
22,Exit short,2025-09-10 11:30,Close Short,3.5249,26.01,89.224704,-2.55,-2.85,0.09,0.06,0.07,-3.44,-3.86,-13.29,-13.29,19
22,Entry short,2025-09-10 02:00,Short,3.4304,26.01,89.224704,-2.55,-2.85,0.09,0.06,0.07,-3.44,-3.86,-13.29,-13.29,19
23,Exit long,2025-09-14 22:30,Close Long,3.6847,24.48,86.678784,3.43,3.96,0.09,8.3,9.57,-1.07,-1.24,-9.86,-9.86,213
23,Entry long,2025-09-10 12:00,Long,3.5408,24.48,86.678784,3.43,3.96,0.09,8.3,9.57,-1.07,-1.24,-9.86,-9.86,213
24,Exit short,2025-09-16 22:30,Close Short,3.5894,24.63,90.128559,1.63,1.81,0.09,4.94,5.48,-1.91,-2.11,-8.23,-8.23,95
24,Entry short,2025-09-14 23:00,Short,3.6593,24.63,90.128559,1.63,1.81,0.09,4.94,5.48,-1.91,-2.11,-8.23,-8.23,95
25,Exit long,2025-09-19 15:00,Close Long,3.7938,25.53,91.744608,5.02,5.47,0.09,9.66,10.52,-1.91,-2.09,-3.21,-3.21,128
25,Entry long,2025-09-16 23:00,Long,3.5936,25.53,91.744608,5.02,5.47,0.09,9.66,10.52,-1.91,-2.09,-3.21,-3.21,128
26,Exit short,2025-09-24 22:30,Close Short,3.3973,25.38,96.76125,10.45,10.79,0.09,15.08,15.58,-0.39,-0.41,7.24,7.24,254
26,Entry short,2025-09-19 15:30,Short,3.8125,25.38,96.76125,10.45,10.79,0.09,15.08,15.58,-0.39,-0.41,7.24,7.24,254
27,Exit long,2025-09-25 10:00,Close Long,3.3178,31.37,107.235208,-3.26,-3.04,0.11,0.13,0.12,-3.5,-3.27,3.98,3.98,22
27,Entry long,2025-09-24 23:00,Long,3.4184,31.37,107.235208,-3.26,-3.04,0.11,0.13,0.12,-3.5,-3.27,3.98,3.98,22
28,Exit short,2025-09-29 04:30,Close Short,3.2346,31.34,103.967316,2.49,2.40,0.1,7.89,7.59,-1.41,-1.35,6.47,6.47,180
28,Entry short,2025-09-25 10:30,Short,3.3174,31.34,103.967316,2.49,2.40,0.1,7.89,7.59,-1.41,-1.35,6.47,6.47,180
29,Exit long,2025-09-30 23:30,Close Long,3.1697,32.93,106.452811,-2.18,-2.05,0.11,3.06,2.87,-2.48,-2.33,4.29,4.29,85
29,Entry long,2025-09-29 05:00,Long,3.2327,32.93,106.452811,-2.18,-2.05,0.11,3.06,2.87,-2.48,-2.33,4.29,4.29,85
30,Exit short,2025-10-01 05:30,Close Short,3.2872,32.97,104.28411,-4.2,-4.03,0.11,0.35,0.34,-4.93,-4.73,0.09,0.09,11
30,Entry short,2025-10-01 00:00,Short,3.163,32.97,104.28411,-4.2,-4.03,0.11,0.35,0.34,-4.93,-4.73,0.09,0.09,11
31,Exit long,2025-10-04 17:00,Close Long,3.5206,30.63,100.059021,7.67,7.66,0.1,12.18,12.17,-1.68,-1.68,7.76,7.76,166
31,Entry long,2025-10-01 06:00,Long,3.2667,30.63,100.059021,7.67,7.66,0.1,12.18,12.17,-1.68,-1.68,7.76,7.76,166
