Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
52,Exit short,2025-10-26 17:00,Short Exit,2.5698,33.02,82.464148,-2.47,-3.00,0.08,1.82,2.21,-2.43,-2.95,16.9,16.90,86
52,Entry short,2025-10-24 22:00,Short,2.4974,33.02,82.464148,-2.47,-3.00,0.08,1.82,2.21,-2.43,-2.95,16.9,16.90,86
53,Exit short,2025-10-26 19:30,Short Exit,2.6041,53.39,136.694417,-2.48,-1.81,0.14,0.51,0.38,-2.41,-1.76,14.42,14.42,2
53,Entry short,2025-10-26 18:30,Short,2.5603,53.39,136.694417,-2.48,-1.81,0.14,0.51,0.38,-2.41,-1.76,14.42,14.42,2
54,Exit short,2025-10-27 06:00,Short Exit,2.6723,49.06,128.80703,-2.43,-1.88,0.13,1.09,0.85,-2.36,-1.83,12,12.00,9
54,Entry short,2025-10-27 01:30,Short,2.6255,49.06,128.80703,-2.43,-1.88,0.13,1.09,0.85,-2.36,-1.83,12,12.00,9
55,Exit short,2025-10-27 22:00,Short Exit,2.6135,35.27,94.079198,1.81,1.92,0.09,3.24,3.45,-1.81,-1.92,13.8,13.80,21
55,Entry short,2025-10-27 11:30,Short,2.6674,35.27,94.079198,1.81,1.92,0.09,3.24,3.45,-1.81,-1.92,13.8,13.80,21
56,Exit long,2025-10-30 02:30,Long Exit,2.5306,33.73,84.453174,0.82,0.97,0.08,2.55,3.02,-0.94,-1.12,14.62,14.62,38
56,Entry long,2025-10-29 07:30,Long,2.5038,33.73,84.453174,0.82,0.97,0.08,2.55,3.02,-0.94,-1.12,14.62,14.62,38
57,Exit long,2025-11-01 00:00,Long Exit,2.3516,29.32,66.764572,2.12,3.17,0.07,3.56,5.33,-0.36,-0.55,16.74,16.74,34
57,Entry long,2025-10-31 07:00,Long,2.2771,29.32,66.764572,2.12,3.17,0.07,3.56,5.33,-0.36,-0.55,16.74,16.74,34
58,Exit long,2025-11-03 23:30,Long Exit,2.0763,40.79,88.938516,-4.33,-4.87,0.09,0.12,0.14,-4.89,-5.50,12.41,12.41,1
58,Entry long,2025-11-03 23:00,Long,2.1804,40.79,88.938516,-4.33,-4.87,0.09,0.12,0.14,-4.89,-5.50,12.41,12.41,1
59,Exit short,2025-11-12 12:30,Close entry(s) order Short,2.0176,21.64,46.335568,2.63,5.67,0.04,3.22,6.95,-1.94,-4.19,15.04,15.04,193
59,Entry short,2025-11-08 12:00,Short,2.1412,21.64,46.335568,2.63,5.67,0.04,3.22,6.95,-1.94,-4.19,15.04,15.04,193
60,Exit long,2025-11-13 21:30,Long Exit,2.0065,49.69,98.425952,1.18,1.20,0.1,3.17,3.21,-1.65,-1.67,16.21,16.21,23
60,Entry long,2025-11-13 10:00,Long,1.9808,49.69,98.425952,1.18,1.20,0.1,3.17,3.21,-1.65,-1.67,16.21,16.21,23
61,Exit long,2025-11-14 12:30,Long Exit,1.8056,53.06,98.13447,-2.43,-2.47,0.1,0,0.00,-2.38,-2.42,13.79,13.79,2
61,Entry long,2025-11-14 11:30,Long,1.8495,53.06,98.13447,-2.43,-2.47,0.1,0,0.00,-2.38,-2.42,13.79,13.79,2
62,Exit long,2025-11-17 21:00,Long Exit,1.7029,45.73,76.062709,1.73,2.28,0.08,3.18,4.17,-1.08,-1.41,15.52,15.52,29
62,Entry long,2025-11-17 06:30,Long,1.6633,45.73,76.062709,1.73,2.28,0.08,3.18,4.17,-1.08,-1.41,15.52,15.52,29
63,Exit long,2025-11-19 08:00,Long Exit,1.6604,28.91,46.764816,1.19,2.54,0.05,2.32,4.96,-0.77,-1.64,16.71,16.71,46
63,Entry long,2025-11-18 09:00,Long,1.6176,28.91,46.764816,1.19,2.54,0.05,2.32,4.96,-0.77,-1.64,16.71,16.71,46
64,Exit long,2025-11-21 10:30,Long Exit,1.4729,22.43,35.376596,-2.37,-6.71,0.03,1.85,5.22,-2.36,-6.66,14.34,14.34,58
64,Entry long,2025-11-20 05:30,Long,1.5772,22.43,35.376596,-2.37,-6.71,0.03,1.85,5.22,-2.36,-6.66,14.34,14.34,58
65,Exit long,2025-11-21 15:30,Long Exit,1.4318,41.49,61.69563,-2.35,-3.81,0.06,0.16,0.26,-2.32,-3.76,11.99,11.99,4
65,Entry long,2025-11-21 13:30,Long,1.487,41.49,61.69563,-2.35,-3.81,0.06,0.16,0.26,-2.32,-3.76,11.99,11.99,4
66,Exit long,2025-11-25 03:30,Long Exit,1.5215,22.19,30.457994,3.27,10.74,0.03,4.28,14.04,-1.39,-4.57,15.26,15.26,156
66,Entry long,2025-11-21 21:30,Long,1.3726,22.19,30.457994,3.27,10.74,0.03,4.28,14.04,-1.39,-4.57,15.26,15.26,156
67,Exit short,2025-11-25 18:30,Short Exit,1.5346,59.92,92.438584,0.39,0.43,0.09,2.8,3.03,-1.8,-1.94,15.65,15.65,12
67,Entry short,2025-11-25 12:30,Short,1.5427,59.92,92.438584,0.39,0.43,0.09,2.8,3.03,-1.8,-1.94,15.65,15.65,12
68,Exit short,2025-12-01 07:30,End Close,1.4958,28.36,43.8871,1.42,3.24,0.04,1.77,4.04,-0.64,-1.45,17.07,17.07,110
68,Entry short,2025-11-29 00:30,Short,1.5475,28.36,43.8871,1.42,3.24,0.04,1.77,4.04,-0.64,-1.45,17.07,17.07,110
