Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
20,Entry long,2025-09-08 18:00,Long,3.4535,30.64,105.81524,-0.42,-0.40,0.11,4.91,4.64,-1,-0.95,5.39,5.39,61
21,Exit short,2025-09-10 21:30,Close Short,3.5836,30.59,105.379491,-4.35,-4.13,0.11,0.52,0.49,-4.56,-4.33,1.04,1.04,41
21,Entry short,2025-09-10 01:00,Short,3.4449,30.59,105.379491,-4.35,-4.13,0.11,0.52,0.49,-4.56,-4.33,1.04,1.04,41
22,Exit long,2025-09-14 21:00,Close Long,3.6919,28.13,101.040147,2.71,2.68,0.1,8.1,8.01,-1.55,-1.53,3.75,3.75,190
22,Entry long,2025-09-10 22:00,Long,3.5919,28.13,101.040147,2.71,2.68,0.1,8.1,8.01,-1.55,-1.53,3.75,3.75,190
23,Exit short,2025-09-16 23:00,Close Short,3.5936,28.11,103.731522,2.61,2.52,0.1,6.51,6.27,-1.31,-1.26,6.36,6.36,99
23,Entry short,2025-09-14 21:30,Short,3.6902,28.11,103.731522,2.61,2.52,0.1,6.51,6.27,-1.31,-1.26,6.36,6.36,99
24,Exit long,2025-09-19 16:00,Close Long,3.799,29.65,106.34269,6.19,5.82,0.11,11.43,10.74,-2.02,-1.89,12.55,12.55,129
24,Entry long,2025-09-16 23:30,Long,3.5866,29.65,106.34269,6.19,5.82,0.11,11.43,10.74,-2.02,-1.89,12.55,12.55,129
25,Exit short,2025-09-24 23:00,Close Short,3.4184,29.54,112.526722,11.44,10.16,0.11,17.46,15.51,-0.14,-0.13,23.99,23.99,253
25,Entry short,2025-09-19 16:30,Short,3.8093,29.54,112.526722,11.44,10.16,0.11,17.46,15.51,-0.14,-0.13,23.99,23.99,253
26,Exit long,2025-09-25 10:00,Close Long,3.3178,36.33,123.972492,-3.56,-2.87,0.12,0.07,0.05,-3.84,-3.10,20.43,20.43,21
