Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
20,Entry long,2025-09-18 06:30,Long,3.7548,22.17,83.243916,-1.67,-2.00,0.08,4.81,5.78,-1.94,-2.33,-18.43,-18.43,81
21,Exit short,2025-09-24 23:00,Close Short,3.4184,22.22,81.560732,5.53,6.77,0.08,10.05,12.32,-0.87,-1.06,-12.9,-12.90,239
21,Entry short,2025-09-19 23:30,Short,3.6706,22.22,81.560732,5.53,6.77,0.08,10.05,12.32,-0.87,-1.06,-12.9,-12.90,239
22,Exit long,2025-09-25 11:30,Close Long,3.2924,25.52,87.084448,-3.15,-3.61,0.09,0.05,0.05,-3.19,-3.66,-16.05,-16.05,24
22,Entry long,2025-09-24 23:30,Long,3.4124,25.52,87.084448,-3.15,-3.61,0.09,0.05,0.05,-3.19,-3.66,-16.05,-16.05,24
23,Exit short,2025-09-27 02:00,Close Short,3.2377,25.36,83.931456,1.74,2.07,0.08,6.19,7.37,-0.28,-0.33,-14.31,-14.31,76
23,Entry short,2025-09-25 12:00,Short,3.3096,25.36,83.931456,1.74,2.07,0.08,6.19,7.37,-0.28,-0.33,-14.31,-14.31,76
24,Exit long,2025-09-30 23:30,Close Long,3.1697,26.4,85.67064,-2.08,-2.42,0.08,2.13,2.48,-4.06,-4.74,-16.38,-16.38,186
24,Entry long,2025-09-27 02:30,Long,3.2451,26.4,85.67064,-2.08,-2.42,0.08,2.13,2.48,-4.06,-4.74,-16.38,-16.38,186
25,Exit short,2025-10-01 06:30,Close Short,3.2713,26.43,83.59809,-2.95,-3.52,0.09,0.28,0.34,-3.95,-4.73,-19.33,-19.33,13
25,Entry short,2025-10-01 00:00,Short,3.163,26.43,83.59809,-2.95,-3.52,0.09,0.28,0.34,-3.95,-4.73,-19.33,-19.33,13
26,Exit long,2025-10-04 19:00,Close Long,3.4948,24.79,80.669139,5.88,7.29,0.08,10.17,12.60,-1.05,-1.30,-13.45,-13.45,168
26,Entry long,2025-10-01 07:00,Long,3.2541,24.79,80.669139,5.88,7.29,0.08,10.17,12.60,-1.05,-1.30,-13.45,-13.45,168
27,Exit short,2025-10-05 08:30,Close Short,3.6734,24.7,86.5488,-4.27,-4.93,0.09,0.14,0.16,-4.61,-5.32,-17.72,-17.72,26
27,Entry short,2025-10-04 19:30,Short,3.504,24.7,86.5488,-4.27,-4.93,0.09,0.14,0.16,-4.61,-5.32,-17.72,-17.72,26
28,Exit long,2025-10-08 00:30,Close Long,3.4717,22.95,82.245915,-2.65,-3.22,0.08,2.84,3.46,-2.81,-3.42,-20.37,-20.37,127
28,Entry long,2025-10-05 09:00,Long,3.5837,22.95,82.245915,-2.65,-3.22,0.08,2.84,3.46,-2.81,-3.42,-20.37,-20.37,127
29,Exit short,2025-10-12 14:00,Close Short,2.5363,22.8,79.6176,21.72,27.27,0.07,66.84,83.91,-1.7,-2.13,1.35,1.35,218
29,Entry short,2025-10-08 01:00,Short,3.492,22.8,79.6176,21.72,27.27,0.07,66.84,83.91,-1.7,-2.13,1.35,1.35,218
